name,organ
student40,fire_department
student51,fire_department
student109,fire_department
student139,fire_department
student148,fire_department
student167,fire_department
student168,fire_department
student183,fire_department
student211,fire_department
student224,fire_department
student233,fire_department
student241,fire_department
student262,fire_department
student267,fire_department
student280,fire_department
student286,fire_department
student288,fire_department
student304,fire_department
student313,fire_department
student328,fire_department
student329,fire_department
student340,fire_department
student349,fire_department
student372,fire_department
student404,fire_department
student423,fire_department
student428,fire_department
student458,fire_department
student474,fire_department
student500,fire_department
student539,fire_department
student560,fire_department
student562,fire_department
student568,fire_department
student585,fire_department
student613,fire_department
student634,fire_department
student647,fire_department
student668,fire_department
student674,fire_department
student702,fire_department
student714,fire_department
student758,fire_department
student764,fire_department
student768,fire_department
student807,fire_department
student854,fire_department
student888,fire_department
student908,fire_department
student985,fire_department
student35,fire_department
student53,fire_department
student160,fire_department
student161,fire_department
student201,fire_department
student252,fire_department
student287,fire_department
student298,fire_department
student310,fire_department
student321,fire_department
student325,fire_department
student375,fire_department
student424,fire_department
student455,fire_department
student462,fire_department
student514,fire_department
student528,fire_department
student540,fire_department
student566,fire_department
student683,fire_department
student715,fire_department
student771,fire_department
student839,fire_department
student865,fire_department
student876,fire_department
student880,fire_department
student931,fire_department
student939,fire_department
student1000,air_force
student999,fire_department
student996,navy
student993,fire_department
student992,marines
student985,navy
student981,air_force
student980,fire_department
student977,foreign_legion
student975,army
student962,marines
student959,air_force
student956,army
student955,marines
student952,navy
student948,air_force
student946,navy
student942,air_force
student937,navy
student925,fire_department
student915,army
student913,air_force
student905,air_force
student902,army
student895,fire_department
student894,marines
student889,foreign_legion
student876,foreign_legion
student875,foreign_legion
student866,foreign_legion
student856,army
student854,fire_department
student844,fire_department
student840,navy
student839,foreign_legion
student836,navy
student835,navy
student832,peace_corps
student831,marines
student817,marines
student815,fire_department
student808,air_force
student804,navy
student803,fire_department
student795,navy
student794,air_force
student793,foreign_legion
student790,fire_department
student789,army
student779,navy
student770,peace_corps
student765,marines
student763,fire_department
student751,navy
student750,air_force
student748,air_force
student738,fire_department
student735,air_force
student733,navy
student729,army
student724,marines
student722,foreign_legion
student721,peace_corps
student714,army
student712,fire_department
student708,foreign_legion
student705,fire_department
student701,peace_corps
student699,air_force
student697,marines
student696,peace_corps
student694,fire_department
student684,foreign_legion
student681,foreign_legion
student680,navy
student678,foreign_legion
student676,peace_corps
student670,air_force
student664,army
student663,peace_corps
student662,marines
student660,army
student652,navy
student646,marines
student637,fire_department
student634,army
student633,foreign_legion
student628,army
student621,peace_corps
student618,foreign_legion
student617,foreign_legion
student616,navy
student611,army
student609,peace_corps
student605,air_force
student604,foreign_legion
student596,peace_corps
student595,marines
student593,army
student589,peace_corps
student587,marines
student569,peace_corps
student568,army
student562,marines
student550,fire_department
student548,foreign_legion
student546,air_force
student544,peace_corps
student543,foreign_legion
student542,fire_department
student539,army
student536,marines
student531,foreign_legion
student527,peace_corps
student511,navy
student507,fire_department
student504,air_force
student496,navy
student494,peace_corps
student493,marines
student480,peace_corps
student467,navy
student458,peace_corps
student450,peace_corps
student448,fire_department
student443,navy
student442,navy
student441,peace_corps
student437,fire_department
student420,marines
student415,foreign_legion
student407,fire_department
student391,air_force
student386,foreign_legion
student382,marines
student380,navy
student378,navy
student377,peace_corps
student369,navy
student367,army
student365,fire_department
student361,army
student353,fire_department
student349,navy
student348,fire_department
student340,army
student338,fire_department
student337,peace_corps
student334,marines
student317,navy
student316,peace_corps
student315,foreign_legion
student313,air_force
student308,air_force
student306,foreign_legion
student304,army
student303,fire_department
student302,fire_department
student297,navy
student295,navy
student293,navy
student292,foreign_legion
student291,army
student285,marines
student282,marines
student281,navy
student280,air_force
student279,army
student275,navy
student272,navy
student271,fire_department
student264,foreign_legion
student248,army
student233,navy
student224,peace_corps
student220,peace_corps
student218,fire_department
student208,foreign_legion
student204,marines
student196,peace_corps
student195,marines
student192,foreign_legion
student191,army
student189,peace_corps
student180,fire_department
student172,peace_corps
student169,navy
student168,air_force
student165,foreign_legion
student161,foreign_legion
student160,fire_department
student153,peace_corps
student152,army
student151,army
student140,air_force
student139,fire_department
student129,peace_corps
student127,marines
student121,army
student120,army
student117,fire_department
student116,fire_department
student106,army
student105,army
student104,marines
student101,foreign_legion
student99,air_force
student97,navy
student94,peace_corps
student91,navy
student90,fire_department
student84,marines
student80,air_force
student79,army
student73,air_force
student62,army
student57,marines
student53,foreign_legion
student51,marines
student49,army
student48,army
student46,army
student39,navy
student21,marines
student13,peace_corps
student11,peace_corps
student9,marines
student4,marines
