name,bool
student10,neg
student101,neg
student103,neg
student107,neg
student110,neg
student111,neg
student113,neg
student115,neg
student116,neg
student123,neg
student124,neg
student131,neg
student132,neg
student137,neg
student14,neg
student141,neg
student144,neg
student146,neg
student149,neg
student16,neg
student160,neg
student161,neg
student166,neg
student176,neg
student177,neg
student18,neg
student180,neg
student182,neg
student185,neg
student186,neg
student187,neg
student188,neg
student190,neg
student192,neg
student20,neg
student200,neg
student201,neg
student202,neg
student205,neg
student206,neg
student212,neg
student215,neg
student218,neg
student221,neg
student223,neg
student230,neg
student236,neg
student239,neg
student240,neg
student243,neg
student245,neg
student249,neg
student25,neg
student251,neg
student252,neg
student254,neg
student256,neg
student258,neg
student259,neg
student264,neg
student265,neg
student266,neg
student268,neg
student27,neg
student276,neg
student277,neg
student278,neg
student287,neg
student289,neg
student29,neg
student290,neg
student292,neg
student298,neg
student299,neg
student3,neg
student303,neg
student307,neg
student310,neg
student311,neg
student312,neg
student319,neg
student320,neg
student321,neg
student325,neg
student326,neg
student327,neg
student332,neg
student335,neg
student34,neg
student341,neg
student343,neg
student344,neg
student345,neg
student348,neg
student35,neg
student353,neg
student355,neg
student356,neg
student357,neg
student358,neg
student36,neg
student360,neg
student362,neg
student363,neg
student365,neg
student366,neg
student374,neg
student375,neg
student379,neg
student38,neg
student381,neg
student383,neg
student387,neg
student390,neg
student392,neg
student393,neg
student394,neg
student398,neg
student402,neg
student408,neg
student413,neg
student418,neg
student419,neg
student424,neg
student426,neg
student427,neg
student434,neg
student435,neg
student437,neg
student44,neg
student445,neg
student449,neg
student451,neg
student453,neg
student454,neg
student455,neg
student456,neg
student457,neg
student460,neg
student461,neg
student462,neg
student463,neg
student464,neg
student466,neg
student469,neg
student47,neg
student471,neg
student478,neg
student482,neg
student483,neg
student484,neg
student487,neg
student489,neg
student499,neg
student5,neg
student501,neg
student506,neg
student507,neg
student509,neg
student510,neg
student513,neg
student514,neg
student516,neg
student518,neg
student520,neg
student521,neg
student524,neg
student525,neg
student528,neg
student53,neg
student532,neg
student535,neg
student537,neg
student54,neg
student540,neg
student542,neg
student543,neg
student545,neg
student548,neg
student549,neg
student55,neg
student551,neg
student552,neg
student557,neg
student558,neg
student56,neg
student561,neg
student563,neg
student564,neg
student566,neg
student571,neg
student574,neg
student577,neg
student58,neg
student582,neg
student586,neg
student597,neg
student60,neg
student604,neg
student61,neg
student618,neg
student622,neg
student623,neg
student630,neg
student633,neg
student636,neg
student637,neg
student639,neg
student640,neg
student643,neg
student644,neg
student648,neg
student653,neg
student654,neg
student657,neg
student669,neg
student67,neg
student671,neg
student675,neg
student681,neg
student683,neg
student685,neg
student687,neg
student691,neg
student692,neg
student693,neg
student694,neg
student695,neg
student703,neg
student704,neg
student706,neg
student707,neg
student708,neg
student71,neg
student711,neg
student713,neg
student715,neg
student716,neg
student718,neg
student720,neg
student722,neg
student725,neg
student726,neg
student728,neg
student730,neg
student731,neg
student736,neg
student737,neg
student74,neg
student752,neg
student755,neg
student756,neg
student759,neg
student76,neg
student763,neg
student766,neg
student767,neg
student771,neg
student772,neg
student777,neg
student78,neg
student782,neg
student784,neg
student786,neg
student791,neg
student793,neg
student796,neg
student799,neg
student801,neg
student802,neg
student810,neg
student811,neg
student813,neg
student815,neg
student816,neg
student818,neg
student819,neg
student822,neg
student824,neg
student826,neg
student829,neg
student833,neg
student834,neg
student837,neg
student839,neg
student843,neg
student844,neg
student845,neg
student848,neg
student85,neg
student851,neg
student853,neg
student857,neg
student86,neg
student860,neg
student861,neg
student862,neg
student865,neg
student869,neg
student87,neg
student872,neg
student873,neg
student875,neg
student876,neg
student878,neg
student88,neg
student880,neg
